hs_code,type,datas_code,datas_desc,type_pure_string
0408110000,EGG YOLKS DRIED,0408110000,EG YLKDRW/N SW,EGGYOLKSDRIED
0408190000,EGG YLKFRFZCK,0408190000,E YKF/F/C WME,EGGYLKFRFZCK
0408910000,BRD EGGS N/SHELL,0408910000,BD EGNISDW/NS,BRDEGGSNSHELL
0408990000,BRD EGG N/SHFR,0408990000,B EGNISFFCWE,BRDEGGNSHFR
0409000020,HONEY NATURAL,0409000020,HONEY NATURAL,HONEYNATURAL
0409000025,CMB & NT HNY/RTL,0409000010,CMB & NT HNY/RTL,CMBNTHNYRTL
0409000050,HONEYNAT N/PKG,0409000050,HONEYNAT N/PKG,HONEYNATNPKG
0409000055,NTURL HONEY NESI,0409000055,NTURL HONEY NESI,NTURLHONEYNESI
0401100000,MCN CN/SWNOV 1,0401100000,MCN CN/SWNOV 1,MCNCNSWNOV1
0401202000,MCN CN/S1-6 NQ,0401202000,MCN CN/S1-6 NQ,MCNCNS16NQ
0401204000,MCN CN/S1-6 OQ,0401204000,MCN CN/S1-6 OQ,MCNCNS16OQ
0401300200,M&C NC/S 6-45,0401300200,M&C NC/S 6-45,MCNCS645
0401300500,M&CNC/S6-45QT,0401300500,M&CNC/S6-45QT,MCNCS645QT
0401301000,M&CNC/S6-45N1,0401301000,M&CNC/S6-45N1,MCNCS645N1
0401302500,MCNC/S6-45OQ,0401302500,MCNC/S6-45OQ,MCNCS645OQ
0401303000,MCN CNC/SW6-45,0401303000,MCN CNC/SW6-45,MCNCNCSW645
0406100010,BLMDCH X STLTN,0406100010,BLMDCH X STLTN,BLMDCHXSTLTN
0406100015,CHDDR CH S,0406100015,CHDDR CH S,CHDDRCHS
0406100040,ITLN CHS NOT LVS,0406100040,ITLN CHS NOT LVS,ITLNCHSNOTLVS
0406100050,CHS <.5% BTTRFT,0406100050,CHS <.5% BTTRFT,CHS<5%BTTRFT
0406100060,OTHER CHS & CRD,0406100060,OTHER CHS & CRD,OTHERCHSCRD
0406100200,CHONGOS,0406100200,CHONGOS,CHONGOS
0406100400,CHONGOS QT,0406100400,CHONGOS QT,CHONGOSQT
0406100800,CHONGOS OQ,0406100800,CHONGOS OQ,CHONGOSOQ
0406101200,CH FRESH,0406101200,CH FRESH,CHFRESH
0406101400,CHFBL-MLKQT,0406101400,CHFBL-MLKQT,CHFBLMLKQT
0406101800,CHFBL-MLKOQ,0406101800,CHFBL-MLKOQ,CHFBLMLKOQ
0406102400,CHFCHDDRQT,0406102400,CHFCHDDRQT,CHFCHDDRQT
0406102800,CHFCHDDROQ,0406102800,CHFCHDDROQ,CHFCHDDROQ
0406103400,CHFAM-TYPQT,0406103400,CHFAM-TYPQT,CHFAMTYPQT
0406103800,CHFAM-TYPOQ,0406103800,CHFAM-TYPOQ,CHFAMTYPOQ
0406104400,CHFED-GDAQT,0406104400,CHFED-GDAQT,CHFEDGDAQT
0406104800,CHFED-GDAOQ,0406104800,CHFED-GDAOQ,CHFEDGDAOQ
0406105015,CHDDR CH S (22),0406105015,CHDDR CH S (22),CHDDRCHS22
0406105025,EDAM & GOUDA(22),0406105025,EDAM & GOUDA(22),EDAMGOUDA22
0406105035,ITLN CH LVS(22),0406105035,ITLN CH LVS(22),ITLNCHLVS22
0406105050,CHSUBS<.5% BFT,0406105050,CHSUBS<.5% BFT,CHSUBS<5%BFT
0406105060,OTHR CHS&CRD(22),0406105060,OTHR CHS&CRD(22),OTHRCHSCRD22
0406105400,CHFIT-TYPQT,0406105400,CHFIT-TYPQT,CHFITTYPQT
0406105800,CHFIT-TYPOQ,0406105800,CHFIT-TYPOQ,CHFITTYPOQ
0406106400,CHFSW-EMMQT,0406106400,CHFSW-EMMQT,CHFSWEMMQT
0406106800,CHFSW-EMMOQ,0406106800,CHFSW-EMMOQ,CHFSWEMMOQ
0406107400,CHFOT<5%FQT,0406107400,CHFOT<5%FQT,CHFOT<5%FQT
0406107800,CHFOT<.5%FOQ,0406107800,CHFOT<.5%FOQ,CHFOT<5%FOQ
0406108400,CHFOT>.5%FQT,0406108400,CHFOT>.5%FQT,CHFOT>5%FQT
0406108800,OTH CHS,0406108800,OTH CHS,OTHCHS
0406109500,CHFOT>.5%FOQ,0406109500,CHFOT>.5%FOQ,CHFOT>5%FOQ
0406201000,CHROQFTGR/PW,0406201000,CHROQFTGR/PW,CHROQFTGRPW
0406201500,CHSTILTUKQT,0406201500,CHSTILTUKQT,CHSTILTUKQT
0406202900,CHCHDDRG/P,0406202900,CHCHDDRG/P,CHCHDDRGP
0406203020,CHCHDCANG/P,0406203020,CHCHDCANG/P,CHCHDCANGP
0406203040,CHCHDG/PNES,0406203040,CHCHDG/PNES,CHCHDGPNES
0406203110,CHCHDDRG/PCAN,0406203110,CHCHDDRG/PCAN,CHCHDDRGPCAN
0406203190,CHCHDDRG/PQT,0406203190,CHCHDDRG/PQT,CHCHDDRGPQT
0406203300,CHCHDDRG/POQ,0406203300,CHCHDDRG/POQ,CHCHDDRGPOQ
0406204020,CHED&GDPRG/P,0406204020,CHED&GDPRG/P,CHEDGDPRGP
0406204040,CHE&G(XPR)G/P,0406204040,CHE&G(XPR)G/P,CHEGXPRGP
0406204300,CHED-GDAG/P,0406204300,CHED-GDAG/P,CHEDGDAGP
0406204400,CHED-GDAG/PQT,0406204400,CHED-GDAG/PQT,CHEDGDAGPQT
0406204800,CHED-GDAG/POQ,0406204800,CHED-GDAG/POQ,CHEDGDAGPOQ
0406204900,CHIT-TYPG/P,0406204900,CHIT-TYPG/P,CHITTYPGP
0406205020,CHPN-CWS MKG/P,0406205020,CHPN-CWS MKG/P,CHPNCWSMKGP
0406205040,CHIT-CW MK/XPGP,0406205040,CHIT-CW MK/XPGP,CHITCWMKXPGP
0406205060,CHIT-TPG/PNES,0406205060,CHIT-TPG/PNES,CHITTPGPNES
0406205100,CHIT-TYPG/PQT,0406205100,CHIT-TYPG/PQT,CHITTYPGPQT
0406205300,CHIT-TYPG/POQ,0406205300,CHIT-TYPG/POQ,CHITTYPGPOQ
0406205400,CHIT-TYPG/POT,0406205400,CHIT-TYPG/POT,CHITTYPGPOT
0406205500,CHSHP MKG/P,0406205500,CHSHP MKG/P,CHSHPMKGP
0406205700,MXG/PB/G/R,0406205700,MXG/PB/G/R,MXGPBGR
0406206015,MXC/P FR CDG/P,0406206015,MXC/P FR CDG/P,MXCPFRCDGP
0406206025,MXC/P AM XCG/P,0406206025,MXC/P AM XCG/P,MXCPAMXCGP
0406206030,MXC/P F E/GG/P,0406206030,MXC/P F E/GG/P,MXCPFEGGP
0406206040,MXC/P ITCMG/P,0406206040,MXC/P ITCMG/P,MXCPITCMGP
0406206045,MXC/P S/E/GG/P,0406206045,MXC/P S/E/GG/P,MXCPSEGGP
0406206047,MXB/G/RETCG/P,0406206047,MXB/G/RETCG/P,MXBGRETCGP
0406206060,CHCNT CMGPNES,0406206060,CHCNT CMGPNES,CHCNTCMGPNES
0406206075,CHINC MXGPNES,0406206075,CHINC MXGPNES,CHINCMXGPNES
0406206100,MXG/PFRBVQT,0406206100,MXG/PFRBVQT,MXGPFRBVQT
0406206300,MXG/PFRBVOQ,0406206300,MXG/PFRBVOQ,MXGPFRBVOQ
0406206700,MXG/PFRCDOQ,0406206700,MXG/PFRCDOQ,MXGPFRCDOQ
0406206900,MXG/PAM-TYPQT,0406206900,MXG/PAM-TYPQT,MXGPAMTYPQT
0406207100,MXG/PAM-TYPOQ,0406207100,MXG/PAM-TYPOQ,MXGPAMTYPOQ
0406207300,MXG/PED-GDSQT,0406207300,MXG/PED-GDSQT,MXGPEDGDSQT
0406207500,MXG/PED-GDAOQ,0406207500,MXG/PED-GDAOQ,MXGPEDGDAOQ
0406207700,MXG/PIT-TYPQT,0406207700,MXG/PIT-TYPQT,MXGPITTYPQT
0406207900,MXG/PIT-TYPOQ,0406207900,MXG/PIT-TYPOQ,MXGPITTYPOQ
0406208100,MXG/PSW-EMMQT,0406208100,MXG/PSW-EMMQT,MXGPSWEMMQT
0406208300,MXG/PSW-EMMOQ,0406208300,MXG/PSW-EMMOQ,MXGPSWEMMOQ
0406208500,MXG/P<.5%FQT,0406208500,MXG/P<.5%FQT,MXGP<5%FQT
0406208700,MXG/P<.5%FOQ,0406208700,MXG/P<.5%FOQ,MXGP<5%FOQ
0406208900,MXG/P>.5%FQT,0406208900,MXG/P>.5%FQT,MXGP>5%FQT
0406209100,MXG/P>.5%FOQ,0406209100,MXG/P>.5%FOQ,MXGP>5%FOQ
0406209500,MXG/P>.5%F,0406209500,MXG/P>.5%F,MXGP>5%F
0406300500,CHPRSTILUK,0406300500,CHPRSTILUK,CHPRSTILUK
0406301040,CHPRBV(XRS)NGP,0406301040,CHPRBV(XRS)NGP,CHPRBVXRSNGP
0406301200,CHPRB-V,0406301200,CHPRB-V,CHPRBV
0406301400,CHPRB-VQT,0406301400,CHPRB-VQT,CHPRBVQT
0406301800,CHPRB-VOQ,0406301800,CHPRB-VOQ,CHPRBVOQ
0406302000,CHCHED(PR)NG/PW,0406302000,CHCHED(PR)NG/PW,CHCHEDPRNGPW
0406302200,CHPRCHDDR,0406302200,CHPRCHDDR,CHPRCHDDR
0406302400,CHPRCHDDRQT,0406302400,CHPRCHDDRQT,CHPRCHDDRQT
0406302800,CHPRCHDDROQ,0406302800,CHPRCHDDROQ,CHPRCHDDROQ
0406303000,CHCOLBYPRNG/P,0406303000,CHCOLBYPRNG/P,CHCOLBYPRNGP
0406303800,CHPRCOLBYOQ,0406303800,CHPRCOLBYOQ,CHPRCOLBYOQ
0406304000,CHED&GD(PR)NG/P,0406304000,CHED&GD(PR)NG/P,CHEDGDPRNGP
0406304200,CHPRED-GDA,0406304200,CHPRED-GDA,CHPREDGDA
0406304400,CHPRED-GDAQT,0406304400,CHPRED-GDAQT,CHPREDGDAQT
0406304800,CHPRED-GDAOQ,0406304800,CHPRED-GDAOQ,CHPREDGDAOQ
0406304900,CHPR-G,0406304900,CHPR-G,CHPRG
0406305000,CHGR-PPRNTG/P,0406305000,CHGR-PPRNTG/P,CHGRPPRNTGP
0406305500,CHSHP MKPNGP,0406305500,CHSHP MKPNGP,CHSHPMKPNGP
0406305600,CHPRSTILUKQT,0406305600,CHPRSTILUKQT,CHPRSTILUKQT
0406305700,CHPR-MXBR,0406305700,CHPR-MXBR,CHPRMXBR
0406306010,MXPCHBVETNGP,0406306010,MXPCHBVETNGP,MXPCHBVETNGP
0406306015,MXP CHFR CNGP,0406306015,MXP CHFR CNGP,MXPCHFRCNGP
0406306025,MXPCHAM XCNGP,0406306025,MXPCHAM XCNGP,MXPCHAMXCNGP
0406306030,MXP CHE/GNGP,0406306030,MXP CHE/GNGP,MXPCHEGNGP
0406306040,MXPCHITCMNGP,0406306040,MXPCHITCMNGP,MXPCHITCMNGP
0406306042,MXPCHITNESNG,0406306042,MXPCHITNESNG,MXPCHITNESNG
0406306045,MXPCHSWETNGP,0406306045,MXPCHSWETNGP,MXPCHSWETNGP
0406306047,MXPCHBRETNGP,0406306047,MXPCHBRETNGP,MXPCHBRETNGP
0406306050,PCHNOV5NGPNES,0406306050,PCHNOV5NGPNES,PCHNOV5NGPNES
0406306060,PCHCNTCMNGPNE,0406306060,PCHCNTCMNGPNE,PCHCNTCMNGPNE
0406306075,PCHINCMXNGPNE,0406306075,PCHINCMXNGPNE,PCHINCMXNGPNE
0406306100,CHPR-MXB-VQT,0406306100,CHPR-MXB-VQT,CHPRMXBVQT
0406306300,CHPR-MXB-VOQ,0406306300,CHPR-MXB-VOQ,CHPRMXBVOQ
0406306500,CHPR-MXCHDQT,0406306500,CHPR-MXCHDQT,CHPRMXCHDQT
0406306700,CHPR-MXCHDOQ,0406306700,CHPR-MXCHDOQ,CHPRMXCHDOQ
0406306900,CHPR-MXAMQT,0406306900,CHPR-MXAMQT,CHPRMXAMQT
0406307100,CHPR-MXAMOQ,0406307100,CHPR-MXAMOQ,CHPRMXAMOQ
0406307300,CHPR-MXE-GQT,0406307300,CHPR-MXE-GQT,CHPRMXEGQT
0406307500,CHPR-MXE-GOQ,0406307500,CHPR-MXE-GOQ,CHPRMXEGOQ
0406307700,CHPR-MXITQT,0406307700,CHPR-MXITQT,CHPRMXITQT
0406307900,CHPR-MXITOQ,0406307900,CHPR-MXITOQ,CHPRMXITOQ
0406308100,CHPR-MXS-EQT,0406308100,CHPR-MXS-EQT,CHPRMXSEQT
0406308300,CHPR-MXS-WOQ,0406308300,CHPR-MXS-WOQ,CHPRMXSWOQ
0406308500,CHPR-MX<.5FQT,0406308500,CHPR-MX<.5FQT,CHPRMX<5FQT
0406308700,CHPR-MX<.5FOQ,0406308700,CHPR-MX<.5FOQ,CHPRMX<5FOQ
0406308900,CHPR-MX>.5FQT,0406308900,CHPR-MX>.5FQT,CHPRMX>5FQT
0406309100,CHPR-MX>.5FOQ,0406309100,CHPR-MX>.5FOQ,CHPRMX>5FOQ
0406309500,CHPR-MXNES,0406309500,CHPR-MXNES,CHPRMXNES
0406402000,CHROQFTOL,0406402000,CHROQFTOL,CHROQFTOL
0406404000,CHROQFTOT O LV,0406404000,CHROQFTOT O LV,CHROQFTOTOLV
0406404400,CHSTIOLUKQT,0406404400,CHSTIOLUKQT,CHSTIOLUKQT
0406404800,CHSTLXOLUKQT,0406404800,CHSTLXOLUKQT,CHSTLXOLUKQT
0406405100,CHB-VIOL,0406405100,CHB-VIOL,CHBVIOL
0406405200,CHB-VXOL,0406405200,CHB-VXOL,CHBVXOL
0406405400,CHB-VIOLQT,0406405400,CHB-VIOLQT,CHBVIOLQT
0406405800,CHB-VXOLQT,0406405800,CHB-VXOLQT,CHBVXOLQT
0406406020,CHSTILT(UK)O LV,0406406020,CHSTILT(UK)O LV,CHSTILTUKOLV
0406406040,CHBL-VNOLVNES,0406406040,CHBL-VNOLVNES,CHBLVNOLVNES
0406407000,CHB-VXOLOQ,0406407000,CHB-VXOLOQ,CHBVXOLOQ
0406408020,CHSTLT UKOT OL,0406408020,CHSTLT UKOT OL,CHSTLTUKOTOL
0406408040,CHB-V(X OL)NES,0406408040,CHB-V(X OL)NES,CHBVXOLNES
0406900500,CHBRYNDZA,0406900500,CHBRYNDZA,CHBRYNDZA
0406900600,CHCHDDR,0406900600,CHCHDDR,CHCHDDR
0406900810,CHCHDDRCANQT,0406900810,CHCHDDRCANQT,CHCHDDRCANQT
0406900890,CHCHDDRQT,0406900890,CHCHDDRQT,CHCHDDRQT
0406901020,CHCHDCANNLIC,0406901020,CHCHDCANNLIC,CHCHDCANNLIC
0406901040,CHCHDNESOI,0406901040,CHCHDNESOI,CHCHDNESOI
0406901200,CHCHDDROQ,0406901200,CHCHDDROQ,CHCHDDROQ
0406901400,CHED-GOU,0406901400,CHED-GOU,CHEDGOU
0406901500,CHEDAM & GOUDA,0406901500,CHEDAM & GOUDA,CHEDAMGOUDA
0406901600,CHED-GOUQT,0406901600,CHED-GOUQT,CHEDGOUQT
0406901800,CHED-GOUOQ,0406901800,CHED-GOUOQ,CHEDGOUOQ
0406902000,CHGJTGTMK/WET,0406902000,CHGJTGTMK/WET,CHGJTGTMKWET
0406902500,CHGJETOSTNES0I,0406902500,CHGJETOSTNES0I,CHGJETOSTNES0I
0406902800,CHGYA,0406902800,CHGYA,CHGYA
0406903020,CHGYACMKNT OL,0406903020,CHGYACMKNT OL,CHGYACMKNTOL
0406903040,CHGOYANES0I,0406903040,CHGOYANES0I,CHGOYANES0I
0406903200,CHGYA.IOLOQ,0406903200,CHGYA.IOLOQ,CHGYAIOLOQ
0406903300,CHCYAXOLOQ,0406903300,CHCYAXOLOQ,CHCYAXOLOQ
0406903400,CHSBRZ,0406903400,CHSBRZ,CHSBRZ
0406903520,CHSBRZCMKOL,0406903520,CHSBRZCMKOL,CHSBRZCMKOL
0406903600,CHSBRZC-MLKQT,0406903600,CHSBRZC-MLKQT,CHSBRZCMLKQT
0406903700,CHSBRZC-MLKOQ,0406903700,CHSBRZC-MLKOQ,CHSBRZCMLKOQ
0406903800,CHSBRZX-CMLK,0406903800,CHSBRZX-CMLK,CHSBRZXCMLK
0406903900,CHIT-TYP,0406903900,CHIT-TYP,CHITTYP
0406904010,CHRMNOCMKOL,0406904010,CHRMNOCMKOL,CHRMNOCMKOL
0406904020,CHRMNCMKNESOI,0406904020,CHRMNCMKNESOI,CHRMNCMKNESOI
0406904030,CHPRM&RGCMKOL,0406904030,CHPRM&RGCMKOL,CHPRMRGCMKOL
0406904040,CHPRM&RGCMXOL,0406904040,CHPRM&RGCMXOL,CHPRMRGCMXOL
0406904050,CHPRM&REGNES0I,0406904050,CHPRM&REGNES0I,CHPRMREGNES0I
0406904060,CHPVN&PVTCMOL,0406904060,CHPVN&PVTCMOL,CHPVNPVTCMOL
0406904070,CHP&PCMKX OL,0406904070,CHP&PCMKX OL,CHPPCMKXOL
0406904080,CHPVN&PVTNESOI,0406904080,CHPVN&PVTNESOI,CHPVNPVTNESOI
0406904100,CHIT-TYPC-MQT,0406904100,CHIT-TYPC-MQT,CHITTYPCMQT
0406904200,CHIT-TYPC-MOQ,0406904200,CHIT-TYPC-MOQ,CHITTYPCMOQ
0406904300,CHIT-TYPX-CM,0406904300,CHIT-TYPX-CM,CHITTYPXCM
0406904400,CHSW-EM,0406904400,CHSW-EM,CHSWEM
0406904520,CHSW/EMW/I FRM,0406904520,CHSW/EMW/I FRM,CHSWEMWIFRM
0406904540,CHGAMM & NOKK,0406904900,CHGAMM/NOKK,CHGAMMNOKK
0406904600,CHSW-EMQT,0406904600,CHSW-EMQT,CHSWEMQT
0406904800,CHSW-EMOQ,0406904800,CHSW-EMOQ,CHSWEMOQ
0406904900,CHGAMM/NOKK,0406904900,CHGAMM/NOKK,CHGAMMNOKK
0406905000,CHSH MKOLS4GR,0406905000,CHSH MKOLS4GR,CHSHMKOLS4GR
0406905100,CHCOLBY,0406905100,CHCOLBY,CHCOLBY
0406905200,CHCOLBYQT,0406905200,CHCOLBYQT,CHCOLBYQT
0406905400,CHCOLBYOQ,0406905400,CHCOLBYOQ,CHCOLBYOQ
0406905500,CHPECOLNS4GR,0406905500,CHPECOLNS4GR,CHPECOLNS4GR
0406905600,CHSHMKIOLS4GR,0406905600,CHSHMKIOLS4GR,CHSHMKIOLS4GR
0406905700,CHPECIOLNS4GR,0406905700,CHPECIOLNS4GR,CHPECIOLNS4GR
0406905900,CHSHP MKNESOI,0406906000,CHSHP MKNESOI,CHSHPMKNESOI
0406906000,CHSHP MKNESOI,0406906000,CHSHP MKNESOI,CHSHPMKNESOI
0406906100,C/SBIMXIT-TYP,0406906100,C/SBIMXIT-TYP,CSBIMXITTYP
0406906300,C/SBIMXNESOI,0406908075,C&SBIMXNESOI,CSBIMXNESOI
0406906500,CHCOLBYNES,0406906500,CHCOLBYNES,CHCOLBYNES
0406906600,C/SBIMXIT-TQT,0406906600,C/SBIMXIT-TQT,CSBIMXITTQT
0406906800,C/SBIMXIT-TOQ,0406906800,C/SBIMXIT-TOQ,CSBIMXITTOQ
0406907000,CSBIMXCN ITCM,0406907000,CSBIMXCN ITCM,CSBIMXCNITCM
0406907200,C/SBIMXB-VQT,0406907200,C/SBIMXB-VQT,CSBIMXBVQT
0406907400,C/SBIMXB-VOQ,0406907400,C/SBIMXB-VOQ,CSBIMXBVOQ
0406907600,C/SBIMXCHDQT,0406907600,C/SBIMXCHDQT,CSBIMXCHDQT
0406907800,C/SBIMXCHDOQ,0406907800,C/SBIMXCHDOQ,CSBIMXCHDOQ
0406908010,CSBIMXC/P F BM,0406908010,CSBIMXC/P F BM,CSBIMXCPFBM
0406908015,CSBIMXC/P-CHD,0406908015,CSBIMXC/P-CHD,CSBIMXCPCHD
0406908025,CSBIMXC/P AME,0406908025,CSBIMXC/P AME,CSBIMXCPAME
0406908030,CSBIMXC/P E/G,0406908030,CSBIMXC/P E/G,CSBIMXCPEG
0406908045,CSBIMX C/P SWE,0406908045,CSBIMX C/P SWE,CSBIMXCPSWE
0406908050,CSBIMXNESNOV5,0406908050,CSBIMXNESNOV5,CSBIMXNESNOV5
0406908060,CSBIMXNESCCME,0406908060,CSBIMXNESCCME,CSBIMXNESCCME
0406908075,C&SBIMXNESOI,0406908075,C&SBIMXNESOI,CSBIMXNESOI
0406908200,C/SBIMXAM-TQT,0406908200,C/SBIMXAM-TQT,CSBIMXAMTQT
0406908400,C/SBIMXAM-TOQ,0406908400,C/SBIMXAM-TOQ,CSBIMXAMTOQ
0406908600,C/SBIMXE-GQT,0406908600,C/SBIMXE-GQT,CSBIMXEGQT
0406908800,C/SBIMXE-GOQ,0406908800,C/SBIMXE-GOQ,CSBIMXEGOQ
0406909000,C/SBIMXSW-EQT,0406909000,C/SBIMXSW-EQT,CSBIMXSWEQT
0406909200,C/SBIMXSW-EOQ,0406909200,C/SBIMXSW-EOQ,CSBIMXSWEOQ
0406909300,C/SBIMX<.5FQT,0406909300,C/SBIMX<.5FQT,CSBIMX<5FQT
0406909400,C/SBIMX<.5FOQ,0406909400,C/SBIMX<.5FOQ,CSBIMX<5FOQ
0406909500,C/SBIMX>.5FQT,0406909500,C/SBIMX>.5FQT,CSBIMX>5FQT
0406909700,C/SBIMX>.5FOQ,0406909700,C/SBIMX>.5FOQ,CSBIMX>5FOQ
0406909900,C/SBIMXOQ,0406909900,C/SBIMXOQ,CSBIMXOQ
0404901000,MK PCWHT/NSNES,0404901000,MK PCWHT/NSNES,MKPCWHTNSNES
0409000056,HONEYNT/RETLT,0409000056,HONEYNT/RETLT,HONEYNTRETLT
0405102000,BUTTER OQT,0405102000,BUTTER OQT,BUTTEROQT
0405902020,AMF OQT,0405902020,AMF OQT,AMFOQT
0409000045,HONEYE/L AMBER,0409000045,HONEYE/L AMBER,HONEYELAMBER
0407210090,FRSH EGCHKNIS,0407210090,FRSH EGCHKNIS,FRSHEGCHKNIS
0404100500,WHEY_PRO_CONMOD,0404100500,WHEY_PRO_CONMOD,WHEYPROCONMOD
0409000005,BHONEY ORGANIC,0409000005,BHONEY ORGANIC,BHONEYORGANIC
0409000035,WHT HONEYNT/RT,0409000035,WHT HONEYNT/RT,WHTHONEYNTRT
0405101000,BUTTER QT,0405101000,BUTTER QT,BUTTERQT
0405901020,AMF QT,0405901020,AMF QT,AMFQT
0408990000,B EGNISFFCWE,0408990000,B EGNISFFCWE,BEGNISFFCWE
0402215000,MCC/NS,0402215000,MCC/NS,MCCNS
0409000010,CMB & NT HNY/RTL,0409000010,CMB & NT HNY/RTL,CMBNTHNYRTL
0403109000,YOGURT NESOI,0403109000,YOGURT NESOI,YOGURTNESOI
0401502500,MCNCS10-45%OT,0401502500,MCNCS10-45%OT,MCNCS1045%OT
0402994500,MKCDNSWACOQ,0402994500,MKCDNSWACOQ,MKCDNSWACOQ
0409000065,HONEYNT/RETOT,0409000065,HONEYNT/RETOT,HONEYNTRETOT
0402911000,MCC/NSACQT,0402911000,MCC/NSACQT,MCCNSACQT
0408190000,E YKF/F/C WME,0408190000,E YKF/F/C WME,EYKFFCWME
0402213000,MCC/NS3-35QT,0402213000,MCC/NS3-35QT,MCCNS335QT
0402991000,MKCDNSWACQT,0402991000,MKCDNSWACQT,MKCDNSWACQT
0407900000,EG NESISP/C,0407900000,EG NESISP/C,EGNESISPC
0406305100,CHPR-GQT,0406305100,CHPR-GQT,CHPRGQT
0403908500,MK/CMFNT/DR-LA,0403908500,MK/CMFNT/DR-LA,MKCMFNTDRLA
0408910000,BD EGNISDW/NS,0408910000,BD EGNISDW/NS,BDEGNISDWNS
0404907000,MLKPROOTHER,0404907000,MLKPROOTHER,MLKPROOTHER
0405204000,BUT SUB<45% NQT,0405204000,BUT SUB<45% NQT,BUTSUB<45%NQT
0408110000,EG YLKDRW/N SW,0408110000,EG YLKDRW/N SW,EGYLKDRWNSW
0401505000,M&CNC/S>45%QT,0401505000,M&CNC/S>45%QT,MCNCS>45%QT
0405100500,BUTTER NQT,0405100500,BUTTER NQT,BUTTERNQT
0401400500,MCNC/S6-10%QT,0401400500,MCNC/S6-10%QT,MCNCS610%QT
0402917000,MCC/NSACOQ,0402917000,MCC/NSACOQ,MCCNSACOQ
