"country","city","time","temperatureHigh","temperatureLow","temperatureMax","temperatureMin","pressure","humidity","uvIndex","windSpeed","windGust","precipProbability","precipType","precipIntensity","precipIntensityMax"
"ireland","carrick on shannon","2019-06-23 23:00:00","20.08","12.46","20.08","13.14","1016.12","0.9","4","9.29","41.55","0.96","rain","0.3159","0.8287"
"ireland","wexford","2019-06-23 23:00:00","17.64","13.45","17.64","13.53","1015.68","0.91","4","9.63","20","0.64","rain","0.1096","0.3151"
"ireland","donegal","2019-06-23 23:00:00","18.95","12.58","18.95","13","1016.83","0.86","3","10.46","44.59","0.95","rain","0.2646","1.1837"
"ireland","killarney","2019-06-23 23:00:00","20.56","12.75","20.56","13.83","1015.4","0.82","4","6.34","17.28","0.78","rain","0.2859","1.5025"
"ireland","ros comain","2019-06-23 23:00:00","19.73","12.62","19.73","12.43","1015.88","0.9","4","9.46","33.12","0.95","rain","0.3382","1.0672"
"ireland","galway","2019-06-23 23:00:00","19.96","13.56","19.96","13.75","1015.67","0.85","4","8.96","34.39","0.92","rain","0.2621","0.8689"
"ireland","cork","2019-06-23 23:00:00","20.21","13.89","20.21","14.81","1015.49","0.84","4","8.3","23.04","0.58","rain","0.0698","0.2087"
"ireland","dublin","2019-06-23 23:00:00","17.63","14.26","17.68","13.18","1015.88","0.88","4","8.15","22.96","0.89","rain","0.1818","0.6011"
"ireland","trim","2019-06-23 23:00:00","17.69","12.43","17.69","12.31","1015.9","0.95","4","10.15","33.11","0.94","rain","0.2911","0.8964"
"ireland","waterford","2019-06-23 23:00:00","19.23","14.7","19.23","14.93","1015.62","0.85","4","8.74","18.52","0.74","rain","0.1918","0.3881"
"ireland","limerick","2019-06-23 23:00:00","20.87","12.64","20.87","13.32","1015.43","0.85","4","6.37","25.8","0.87","rain","0.2914","1.3638"
"ireland","clonmel","2019-06-23 23:00:00","21.09","13","21.09","13.29","1015.52","0.86","4","6.54","19.36","0.8","rain","0.2289","0.55"
"ireland","nenagh","2019-06-23 23:00:00","20.38","13.22","20.38","12.8","1015.52","0.85","4","6.69","21.88","0.9","rain","0.3866","1.6507"
"ireland","swords","2019-06-23 23:00:00","17.1","13.46","17.1","12.68","1015.9","0.91","4","9.9","29.96","0.91","rain","0.1832","0.6544"
"ireland","dunleary","2019-06-23 23:00:00","15.92","14.49","16.07","13.42","1015.84","0.89","4","8.6","20.46","0.84","rain","0.1633","0.5441"
"ireland","tallaght","2019-06-23 23:00:00","17.8","14.14","17.8","12.92","1015.85","0.88","4","7.71","20.93","0.89","rain","0.2001","0.5156"
"ireland","castlebar","2019-06-23 23:00:00","19.56","12.47","19.56","12.59","1016.17","0.88","4","10.2","34.4","0.94","rain","0.2227","0.8404"
"ireland","naas","2019-06-23 23:00:00","17.83","12.87","17.83","11.86","1015.76","0.92","4","7.74","19.52","0.89","rain","0.2657","0.9933"
"ireland","carlow","2019-06-23 23:00:00","19.65","13.32","19.65","12.74","1015.6","0.89","4","6.91","18.01","0.87","rain","0.3569","1.4775"
"ireland","ennis","2019-06-23 23:00:00","21.06","13.14","21.06","13.75","1015.5","0.85","4","6.99","27.85","0.86","rain","0.2578","0.8483"
"ireland","tullamore","2019-06-23 23:00:00","19.67","12.47","19.67","13.1","1015.75","0.91","4","8.19","25.02","0.93","rain","0.3874","0.9455"
"united states","montgomery","2019-06-24 05:00:00","33.83","23.69","33.83","24.18","1014.37","0.69","7","12.32","40.86","0.44","rain","0.3244","1.4757"
"united states","juneau","2019-06-24 08:00:00","14.36","8.36","14.36","7.95","1015.37","0.75","5","7.03","11.7","0.15","rain","0.0076","0.0345"
"united states","phoenix","2019-06-24 07:00:00","40.32","22.34","40.32","22.09","1008.39","0.12","10","7.01","15.89","0","none","0","0"
"united states","north little rock","2019-06-24 05:00:00","30.29","20.63","30.29","19.72","1011.4","0.77","6","11.98","54.86","0.79","rain","0.7408","3.8575"
"united states","sacramento","2019-06-24 07:00:00","35.33","15.05","35.33","17.01","1009.13","0.39","9","9.95","24.9","0.01","rain","0.0021","0.0051"
"united states","denver","2019-06-24 06:00:00","26.85","12.02","26.85","8.91","1011.21","0.37","9","10.25","21.32","0.03","rain","0.0056","0.0525"
"united states","hartford","2019-06-24 04:00:00","30.8","16.35","30.8","17.07","1011.91","0.48","8","7.14","35.14","0.01","rain","0.0019","0.0051"
"united states","dover","2019-06-24 04:00:00","30.42","22.43","30.42","17.65","1012.17","0.68","7","12.86","33.14","0.27","rain","0.0722","0.4441"
"united states","tallahassee","2019-06-24 04:00:00","35.46","24.67","35.46","22.87","1015.78","0.71","8","8.48","25.42","0.07","rain","0.0065","0.0926"
"united states","atlanta","2019-06-24 04:00:00","32.03","21.95","32.03","22.6","1014.31","0.68","9","11.87","35.18","0.44","rain","0.2375","0.9655"
"united states","honolulu","2019-06-24 10:00:00","28.97","23.22","28.97","23.25","1015.32","0.79","8","10.34","20.92","0.31","rain","0.0686","0.2421"
"united states","boise","2019-06-24 06:00:00","27.01","14.16","27.01","9.44","1012.01","0.37","9","8.11","19.92","0.01","rain","0.0021","0.0051"
"united states","springfield","2019-06-24 05:00:00","23.29","15.6","23.29","18.21","1006.53","0.89","5","21.37","52.52","0.66","rain","0.2245","0.9527"
"united states","indianapolis","2019-06-24 04:00:00","25.4","17.85","25.4","20.96","1006.8","0.85","5","18.75","41.68","0.91","rain","1.1274","6.1065"
"united states","des moines","2019-06-24 05:00:00","24.61","15.77","24.61","16.43","1005.09","0.81","5","18.12","48.98","0.65","rain","0.236","0.9349"
"united states","topeka","2019-06-24 05:00:00","27.74","19.1","27.74","15.75","1009.18","0.69","9","17.29","41.75","0.13","rain","0.0049","0.035"
"united states","frankfort","2019-06-24 04:00:00","27.94","18.88","27.94","21.38","1009.36","0.83","7","17.89","50.71","0.79","rain","1.0381","6.6393"
"united states","baton rouge","2019-06-24 05:00:00","31.68","24.13","31.68","25.17","1014.25","0.82","7","12.74","35.79","0.49","rain","0.2155","1.1836"
"united states","augusta","2019-06-24 04:00:00","25.21","9.59","25.21","12.18","1011.74","0.49","8","8.01","28.93","0.01","rain","0.0018","0.0051"
"united states","annapolis","2019-06-24 04:00:00","31.46","23.38","31.46","20.51","1011.66","0.66","7","13.37","34.16","0.3","rain","0.0664","0.4333"
"united states","boston","2019-06-24 04:00:00","25.65","15.11","25.65","17.31","1011.84","0.53","8","10.95","34.02","0.01","rain","0.0018","0.0051"
"united states","lansing","2019-06-24 04:00:00","24.79","16.68","24.79","18.07","1003.64","0.88","5","17.61","43.38","0.87","rain","0.7218","2.531"
"united states","saint paul","2019-06-24 05:00:00","22.6","16.45","22.6","16.44","1002.08","0.81","4","13.25","30.46","0.91","rain","0.8365","1.8768"
"united states","jackson","2019-06-24 05:00:00","28.93","21.4","28.93","22.88","1013.73","0.82","6","12.64","42.23","0.72","rain","0.512","1.5472"
"united states","jefferson city","2019-06-24 05:00:00","26.63","17.19","26.63","19.47","1008.64","0.73","6","15.53","45.03","0.62","rain","0.1621","2.083"
"united states","helena","2019-06-24 06:00:00","24.11","7.63","24.11","8.99","1010.37","0.38","7","12.43","32.74","0.06","rain","0.0022","0.0054"
"united states","lincoln","2019-06-24 05:00:00","27.68","16.06","27.68","13.77","1007.72","0.71","8","16.4","44.38","0.47","rain","0.0981","0.6696"
"united states","carson city","2019-06-24 07:00:00","28.29","12.37","28.29","9.44","1012.02","0.31","10","12.21","37.55","0","none","0","0"
"united states","concord","2019-06-24 04:00:00","28.32","12.12","28.32","14.48","1011.8","0.52","9","7.38","31.15","0.01","rain","0.0018","0.0051"
"united states","trenton","2019-06-24 04:00:00","29.76","21.18","29.76","16.24","1012.08","0.63","8","8.09","19.46","0.23","rain","0.0361","0.2345"
"united states","santa fe","2019-06-24 06:00:00","26.58","10.58","26.58","6.69","1013.81","0.23","11","10.15","26.11","0.01","rain","0.0021","0.0051"
"united states","albany","2019-06-24 04:00:00","29.2","18.27","29.2","14.73","1011.85","0.54","7","4.7","28.41","0.03","rain","0.0037","0.0439"
"united states","raleigh","2019-06-24 04:00:00","33.23","22.93","33.23","19.49","1013.61","0.73","9","10.49","37.99","0.18","rain","0.015","0.068"
"united states","bismarck","2019-06-24 05:00:00","25.22","12.61","25.22","11.71","1004.47","0.59","8","9.79","23.68","0.3","rain","0.0373","0.1778"
"united states","columbus","2019-06-24 04:00:00","29.17","19.39","29.17","21.15","1007.93","0.8","7","18.17","51","0.93","rain","1.8811","5.4121"
"united states","oklahoma city","2019-06-24 05:00:00","29.6","21.27","29.6","18.31","1011.4","0.69","9","9.1","44.39","0.22","rain","0.2263","2.314"
"united states","salem","2019-06-24 07:00:00","24.07","11.71","24.07","9.19","1016.38","0.63","8","6.03","12.77","0.06","rain","0.0021","0.0051"
"united states","harrisburg","2019-06-24 04:00:00","28.3","21.05","28.3","16.6","1011.39","0.74","6","6.32","22.57","0.57","rain","0.3179","1.1265"
"united states","providence","2019-06-24 04:00:00","28.66","15.51","28.66","16.72","1011.83","0.53","8","8.77","40.11","0.01","rain","0.0018","0.0051"
"united states","columbia","2019-06-24 04:00:00","35.96","24.49","35.96","22.3","1013.7","0.66","9","9.31","26.8","0.14","rain","0.0116","0.0524"
"united states","pierre","2019-06-24 05:00:00","27.58","13.29","27.58","11.97","1005.93","0.57","8","10.25","29.42","0.24","rain","0.0233","0.1318"
"united states","nashville","2019-06-24 05:00:00","29.72","20.42","29.72","23.78","1011.12","0.69","5","15.98","42.55","0.52","rain","0.2639","1.2583"
"united states","austin","2019-06-24 05:00:00","32.47","24.66","32.47","25.32","1010.65","0.73","8","16.65","54.47","0.47","rain","0.3923","1.3085"
"united states","salt lake city","2019-06-24 06:00:00","29.29","17.98","29.29","13.96","1011.19","0.28","10","8.95","22.24","0.01","rain","0.0021","0.0051"
"united states","montpelier","2019-06-24 04:00:00","26.67","12.73","26.67","11.62","1012.2","0.53","8","5.62","27.94","0.01","rain","0.0018","0.0051"
"united states","richmond","2019-06-24 04:00:00","32.19","23.04","32.19","18.45","1012.48","0.68","8","11.03","39.08","0.2","rain","0.0179","0.0801"
"united states","olympia","2019-06-24 07:00:00","22.01","9.07","22.01","10.18","1016.42","0.67","5","6.94","17.65","0.09","rain","0.0041","0.0075"
"united states","charleston","2019-06-24 04:00:00","33.36","19.94","33.36","21.54","1010.67","0.73","8","12.19","43.56","0.68","rain","0.4078","1.6383"
"united states","madison","2019-06-24 05:00:00","23.13","17.16","23.13","18.48","1001.91","0.88","5","18.26","49.47","0.73","rain","0.3505","1.7542"
"united states","cheyenne","2019-06-24 06:00:00","21.72","8.16","21.72","7.07","1010.17","0.47","9","21.11","50.36","0.08","rain","0.0049","0.0256"
