hs_code,type,datas_code,datas_desc,type_pure_string
0406306025,MXPCHAM XCNGP,0406306025,MXPCHAM XCNGP,MXPCHAMXCNGP
0406306030,MXP CHE/GNGP,0406306030,MXP CHE/GNGP,MXPCHEGNGP
0406306040,MXPCHITCMNGP,0406306040,MXPCHITCMNGP,MXPCHITCMNGP
0406306045,MXPCHSWETNGP,0406306045,MXPCHSWETNGP,MXPCHSWETNGP
0406306060,PCHCNTCMNGPNE,0406306060,PCHCNTCMNGPNE,PCHCNTCMNGPNE
0406306075,PCHINCMXNGPNE,0406306075,PCHINCMXNGPNE,PCHINCMXNGPNE
0406402000,CHROQFTOL,0406402000,CHROQFTOL,CHROQFTOL
0406404000,CHROQFTOT O LV,0406404000,CHROQFTOT O LV,CHROQFTOTOLV
0406406020,CHSTILT(UK)O LV,0406406020,CHSTILT(UK)O LV,CHSTILTUKOLV
0406406040,CHBL-VNOLVNES,0406406040,CHBL-VNOLVNES,CHBLVNOLVNES
0406408020,CHSTLT UKOT OL,0406408020,CHSTLT UKOT OL,CHSTLTUKOTOL
0406408040,CHB-V(X OL)NES,0406408040,CHB-V(X OL)NES,CHBVXOLNES
0406900500,CHBRYNDZA,0406900500,CHBRYNDZA,CHBRYNDZA
0406901020,CHCHDCANNLIC,0406901020,CHCHDCANNLIC,CHCHDCANNLIC
0406901040,CHCHDNESOI,0406901040,CHCHDNESOI,CHCHDNESOI
0406901500,CHEDAM & GOUDA,0406901500,GRUYèRE AND SBRINZ (EXCL. GRATED OR POWDERED AND THOSE FOR PROCESSING),CHEDAMGOUDA
0406902000,CHGJTGTMK/WET,0406902000,CHGJTGTMK/WET,CHGJTGTMKWET
0406902500,CHGJETOSTNES0I,0406902500,TILSIT (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CHGJETOSTNES0I
0406903020,CHGYACMKNT OL,0406903020,CHGYACMKNT OL,CHGYACMKNTOL
0406903040,CHGOYANES0I,0406903040,CHGOYANES0I,CHGOYANES0I
0406904010,CHRMNOCMKOL,0406904010,CHRMNOCMKOL,CHRMNOCMKOL
0406904020,CHRMNCMKNESOI,0406904020,CHRMNCMKNESOI,CHRMNCMKNESOI
0406904030,CHPRM&RGCMKOL,0406904030,CHPRM&RGCMKOL,CHPRMRGCMKOL
0406904040,CHPRM&RGCMXOL,0406904040,CHPRM&RGCMXOL,CHPRMRGCMXOL
0406904050,CHPRM&REGNES0I,0406904050,CHPRM&REGNES0I,CHPRMREGNES0I
0406904060,CHPVN&PVTCMOL,0406904060,CHPVN&PVTCMOL,CHPVNPVTCMOL
0406904080,CHPVN&PVTNESOI,0406904080,CHPVN&PVTNESOI,CHPVNPVTNESOI
0406904520,CHSW/EMW/I FRM,0406904520,CHSW/EMW/I FRM,CHSWEMWIFRM
0406904540,CHGAMM & NOKK,0406904900,CHGAMM/NOKK,CHGAMMNOKK
0406905000,CHSH MKOLS4GR,0406905000,SHEEP'S OR BUFFALO MILK CHEESE- IN CONTAINERS CONTAINING BRINE- OR IN SHEEPSKIN OR GOATSKIN BOTTLES (EXCL. FETA),CHSHMKOLS4GR
0406905500,CHPECOLNS4GR,0406905500,CHPECOLNS4GR,CHPECOLNS4GR
0406906000,CHSHP MKNESOI,0406905900,CHSHP MKNESOI,CHSHPMKNESOI
0406907000,CSBIMXCN ITCM,0406907000,CSBIMXCN ITCM,CSBIMXCNITCM
0406908010,CSBIMXC/P F BM,0406908010,CSBIMXC/P F BM,CSBIMXCPFBM
0406908015,CSBIMXC/P-CHD,0406908015,CSBIMXC/P-CHD,CSBIMXCPCHD
0406908025,CSBIMXC/P AME,0406908025,CSBIMXC/P AME,CSBIMXCPAME
0406908030,CSBIMXC/P E/G,0406908030,CSBIMXC/P E/G,CSBIMXCPEG
0406908045,CSBIMX C/P SWE,0406908045,CSBIMX C/P SWE,CSBIMXCPSWE
0406908050,CSBIMXNESNOV5,0406908050,CSBIMXNESNOV5,CSBIMXNESNOV5
0406908060,CSBIMXNESCCME,0406908060,CSBIMXNESCCME,CSBIMXNESCCME
0406908075,C&SBIMXNESOI,0406906300,C/SBIMXNESOI,CSBIMXNESOI
0406100015,CHDDR CH S,0406100015,CHDDR CH S,CHDDRCHS
0406206025,MXC/P AM XCG/P,0406206025,MXC/P AM XCG/P,MXCPAMXCGP
0406306042,MXPCHITNESNG,0406306042,MXPCHITNESNG,MXPCHITNESNG
0406904070,CHP&PCMKX OL,0406904070,CHP&PCMKX OL,CHPPCMKXOL
0406906500,CHCOLBYNES,0406906500,CHCOLBYNES,CHCOLBYNES
0401100000,MCN CN/SWNOV 1,0401100000,Milk not concentrated nor sweetened < 1% fat,MCNCNSWNOV1
0406105015,CHDDR CH S (22),0406105015,CHDDR CH S (22),CHDDRCHS22
0406105035,ITLN CH LVS(22),0406105035,ITLN CH LVS(22),ITLNCHLVS22
0406105050,CHSUBS<.5% BFT,0406105050,CHSUBS<.5% BFT,CHSUBS<5%BFT
0406105060,OTHR CHS&CRD(22),0406105060,OTHR CHS&CRD(22),OTHRCHSCRD22
0406206030,MXC/P F E/GG/P,0406206030,MXC/P F E/GG/P,MXCPFEGGP
0406306010,MXPCHBVETNGP,0406306010,MXPCHBVETNGP,MXPCHBVETNGP
0406306050,PCHNOV5NGPNES,0406306050,PCHNOV5NGPNES,PCHNOV5NGPNES
0406903520,CHSBRZCMKOL,0406903520,CHSBRZCMKOL,CHSBRZCMKOL
0406306047,MXPCHBRETNGP,0406306047,MXPCHBRETNGP,MXPCHBRETNGP
0406105025,EDAM & GOUDA(22),0406105025,EDAM & GOUDA(22),EDAMGOUDA22
0404100500,WHEY PROT CONC,0404100500,WHEY_PRO_CONMOD,WHEYPROTCONC
0404100800,MOD WHEY NESOI,0404100850,WHEY MOD,MODWHEYNESOI
0401300500,M&CNC/S6-45QT,0401300500,M&CNC/S6-45QT,MCNCS645QT
0401302500,MCNC/S6-45OQ,0401302500,MCNC/S6-45OQ,MCNCS645OQ
0406100800,CHONGOS OQ,0406100800,CHONGOS OQ,CHONGOSOQ
0406102800,CHFCHDDROQ,0406102800,CHFCHDDROQ,CHFCHDDROQ
0406104400,CHFED-GDAQT,0406104400,CHFED-GDAQT,CHFEDGDAQT
0406104800,CHFED-GDAOQ,0406104800,CHFED-GDAOQ,CHFEDGDAOQ
0406105400,CHFIT-TYPQT,0406105400,CHFIT-TYPQT,CHFITTYPQT
0406106400,CHFSW-EMMQT,0406106400,CHFSW-EMMQT,CHFSWEMMQT
0406107400,CHFOT<5%FQT,0406107400,CHFOT<5%FQT,CHFOT<5%FQT
0406108400,CHFOT>.5%FQT,0406108400,CHFOT>.5%FQT,CHFOT>5%FQT
0406108800,OTH CHS,0406108800,OTH CHS,OTHCHS
0406109500,CHFOT>.5%FOQ,0406109500,CHFOT>.5%FOQ,CHFOT>5%FOQ
0406202900,CHCHDDRG/P,0406202900,CHCHDDRG/P,CHCHDDRGP
0406203110,CHCHDDRG/PCAN,0406203110,CHCHDDRG/PCAN,CHCHDDRGPCAN
0406203190,CHCHDDRG/PQT,0406203190,CHCHDDRG/PQT,CHCHDDRGPQT
0406206700,MXG/PFRCDOQ,0406206700,MXG/PFRCDOQ,MXGPFRCDOQ
0406206900,MXG/PAM-TYPQT,0406206900,MXG/PAM-TYPQT,MXGPAMTYPQT
0406207700,MXG/PIT-TYPQT,0406207700,MXG/PIT-TYPQT,MXGPITTYPQT
0406208100,MXG/PSW-EMMQT,0406208100,MXG/PSW-EMMQT,MXGPSWEMMQT
0406208500,MXG/P<.5%FQT,0406208500,MXG/P<.5%FQT,MXGP<5%FQT
0406208900,MXG/P>.5%FQT,0406208900,MXG/P>.5%FQT,MXGP>5%FQT
0406209100,MXG/P>.5%FOQ,0406209100,MXG/P>.5%FOQ,MXGP>5%FOQ
0406209500,MXG/P>.5%F,0406209500,MXG/P>.5%F,MXGP>5%F
0406301400,CHPRB-VQT,0406301400,CHPRB-VQT,CHPRBVQT
0406302200,CHPRCHDDR,0406302200,CHPRCHDDR,CHPRCHDDR
0406302400,CHPRCHDDRQT,0406302400,CHPRCHDDRQT,CHPRCHDDRQT
0406304200,CHPRED-GDA,0406304200,CHPRED-GDA,CHPREDGDA
0406304400,CHPRED-GDAQT,0406304400,CHPRED-GDAQT,CHPREDGDAQT
0406306100,CHPR-MXB-VQT,0406306100,CHPR-MXB-VQT,CHPRMXBVQT
0406306700,CHPR-MXCHDOQ,0406306700,CHPR-MXCHDOQ,CHPRMXCHDOQ
0406306900,CHPR-MXAMQT,0406306900,CHPR-MXAMQT,CHPRMXAMQT
0406307100,CHPR-MXAMOQ,0406307100,CHPR-MXAMOQ,CHPRMXAMOQ
0406307700,CHPR-MXITQT,0406307700,CHPR-MXITQT,CHPRMXITQT
0406307900,CHPR-MXITOQ,0406307900,CHPR-MXITOQ,CHPRMXITOQ
0406308100,CHPR-MXS-EQT,0406308100,CHPR-MXS-EQT,CHPRMXSEQT
0406308500,CHPR-MX<.5FQT,0406308500,CHPR-MX<.5FQT,CHPRMX<5FQT
0406308900,CHPR-MX>.5FQT,0406308900,CHPR-MX>.5FQT,CHPRMX>5FQT
0406309100,CHPR-MX>.5FOQ,0406309100,CHPR-MX>.5FOQ,CHPRMX>5FOQ
0406309500,CHPR-MXNES,0406309500,CHPR-MXNES,CHPRMXNES
0406404400,CHSTIOLUKQT,0406404400,CHSTIOLUKQT,CHSTIOLUKQT
0406404800,CHSTLXOLUKQT,0406404800,CHSTLXOLUKQT,CHSTLXOLUKQT
0406405100,CHB-VIOL,0406405100,CHB-VIOL,CHBVIOL
0406405400,CHB-VIOLQT,0406405400,CHB-VIOLQT,CHBVIOLQT
0406405800,CHB-VXOLQT,0406405800,CHB-VXOLQT,CHBVXOLQT
0406407000,CHB-VXOLOQ,0406407000,CHB-VXOLOQ,CHBVXOLOQ
0406900600,CHCHDDR,0406900600,CHCHDDR,CHCHDDR
0406900810,CHCHDDRCANQT,0406900810,CHCHDDRCANQT,CHCHDDRCANQT
0406900890,CHCHDDRQT,0406900890,CHCHDDRQT,CHCHDDRQT
0406901200,CHCHDDROQ,0406901200,CHCHDDROQ,CHCHDDROQ
0406901400,CHED-GOU,0406901400,CHED-GOU,CHEDGOU
0406901600,CHED-GOUQT,0406901600,CHED-GOUQT,CHEDGOUQT
0406901800,CHED-GOUOQ,0406901800,FROMAGE FRIBOURGEOIS- VACHERIN MONT D'OR AND TêTE DE MOINE (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CHEDGOUOQ
0406902800,CHGYA,0406902800,CHGYA,CHGYA
0406903300,CHCYAXOLOQ,0406903300,CHCYAXOLOQ,CHCYAXOLOQ
0406903400,CHSBRZ,0406903400,CHSBRZ,CHSBRZ
0406903900,CHIT-TYP,0406903900,JARLSBERG (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CHITTYP
0406904100,CHIT-TYPC-MQT,0406904100,CHIT-TYPC-MQT,CHITTYPCMQT
0406904200,CHIT-TYPC-MOQ,0406904200,CHIT-TYPC-MOQ,CHITTYPCMOQ
0406904400,CHSW-EM,0406904400,CHSW-EM,CHSWEM
0406904600,CHSW-EMQT,0406904600,CHSW-EMQT,CHSWEMQT
0406904800,CHSW-EMOQ,0406904800,CHSW-EMOQ,CHSWEMOQ
0406904900,CHGAMM/NOKK,0406904900,CHGAMM/NOKK,CHGAMMNOKK
0406905600,CHSHMKIOLS4GR,0406905600,CHSHMKIOLS4GR,CHSHMKIOLS4GR
0406905700,CHPECIOLNS4GR,0406905700,CHPECIOLNS4GR,CHPECIOLNS4GR
0406905900,CHSHP MKNESOI,0406905900,CHSHP MKNESOI,CHSHPMKNESOI
0406906100,C/SBIMXIT-TYP,0406906100,GRANA PADANO AND PARMIGIANO REGGIANO- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF <= 47% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXITTYP
0406906300,C/SBIMXNESOI,0406906300,FIORE SARDO AND PECORINO- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF <= 47% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXNESOI
0406907200,C/SBIMXB-VQT,0406907200,C/SBIMXB-VQT,CSBIMXBVQT
0406908200,C/SBIMXAM-TQT,0406908200,CAMEMBERT- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 72% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXAMTQT
0406908400,C/SBIMXAM-TOQ,0406908400,BRIE- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 72% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXAMTOQ
0406908600,C/SBIMXE-GQT,0406908600,CHEESE- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 52%- N.E.S.,CSBIMXEGQT
0406909000,C/SBIMXSW-EQT,0406909000,C/SBIMXSW-EQT,CSBIMXSWEQT
0406909300,C/SBIMX<.5FQT,0406909300,CHEESE- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 72%- N.E.S.,CSBIMX<5FQT
0406909400,C/SBIMX<.5FOQ,0406909400,C/SBIMX<.5FOQ,CSBIMX<5FOQ
0406909500,C/SBIMX>.5FQT,0406909500,C/SBIMX>.5FQT,CSBIMX>5FQT
0406909700,C/SBIMX>.5FOQ,0406909700,C/SBIMX>.5FOQ,CSBIMX>5FOQ
0406909900,C/SBIMXOQ,0406909900,CHEESE OF A FAT CONTENT BY WEIGHT OF > 40%- N.E.S.,CSBIMXOQ
0404100850,MOD WHEY NESOI,0404100850,MOD WHEY NESOI,MODWHEYNESOI
0406909550,CHEESEINC MIXT,0406909550,CHEESEINC MIXT,CHEESEINCMIXT
0406102400,CHFCHDDRQT,0406102400,CHFCHDDRQT,CHFCHDDRQT
0406103400,CHFAM-TYPQT,0406103400,CHFAM-TYPQT,CHFAMTYPQT
0406105800,CHFIT-TYPOQ,0406105800,CHFIT-TYPOQ,CHFITTYPOQ
0406203300,CHCHDDRG/POQ,0406203300,CHCHDDRG/POQ,CHCHDDRGPOQ
0406204300,CHED-GDAG/P,0406204300,CHED-GDAG/P,CHEDGDAGP
0406205100,CHIT-TYPG/PQT,0406205100,CHIT-TYPG/PQT,CHITTYPGPQT
0406206100,MXG/PFRBVQT,0406206100,MXG/PFRBVQT,MXGPFRBVQT
0406207300,MXG/PED-GDSQT,0406207300,MXG/PED-GDSQT,MXGPEDGDSQT
0406306500,CHPR-MXCHDQT,0406306500,CHPR-MXCHDQT,CHPRMXCHDQT
0406903700,CHSBRZC-MLKOQ,0406903700,FINLANDIA (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CHSBRZCMLKOQ
0406906600,C/SBIMXIT-TQT,0406906600,C/SBIMXIT-TQT,CSBIMXITTQT
0406908800,C/SBIMXE-GOQ,0406908800,CHEESE- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 62% BUT <= 72%- N.E.S.,CSBIMXEGOQ
0406909200,C/SBIMXSW-EOQ,0406909200,CHEESE- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 62% BUT <= 72%- N.E.S.,CSBIMXSWEOQ
0405100000,BUTTER,0405100000,BUTTER,BUTTER
0405200000,DAIRY SPREADS,0405200000,DAIRY SPREADS,DAIRYSPREADS
0405900000,MLKFTS/OLSNESOI,0405900000,Other milk fats and oils,MLKFTSOLSNESOI
0409000025,CMB & NT HNY/RTL,0409000010,CMB & NT HNY/RTL,CMBNTHNYRTL
0409000055,NTURL HONEY NESI,0409000055,NTURL HONEY NESI,NTURLHONEYNESI
0406100400,CHONGOS QT,0406100400,CHONGOS QT,CHONGOSQT
0406101400,CHFBL-MLKQT,0406101400,CHFBL-MLKQT,CHFBLMLKQT
0406101800,CHFBL-MLKOQ,0406101800,CHFBL-MLKOQ,CHFBLMLKOQ
0406103800,CHFAM-TYPOQ,0406103800,CHFAM-TYPOQ,CHFAMTYPOQ
0406204400,CHED-GDAG/PQT,0406204400,CHED-GDAG/PQT,CHEDGDAGPQT
0406205300,CHIT-TYPG/POQ,0406205300,CHIT-TYPG/POQ,CHITTYPGPOQ
0406207500,MXG/PED-GDAOQ,0406207500,MXG/PED-GDAOQ,MXGPEDGDAOQ
0406207900,MXG/PIT-TYPOQ,0406207900,MXG/PIT-TYPOQ,MXGPITTYPOQ
0406300500,CHPRSTILUK,0406300500,CHPRSTILUK,CHPRSTILUK
0406302800,CHPRCHDDROQ,0406302800,CHPRCHDDROQ,CHPRCHDDROQ
0406303800,CHPRCOLBYOQ,0406303800,CHPRCOLBYOQ,CHPRCOLBYOQ
0406305600,CHPRSTILUKQT,0406305600,CHPRSTILUKQT,CHPRSTILUKQT
0406308300,CHPR-MXS-WOQ,0406308300,CHPR-MXS-WOQ,CHPRMXSWOQ
0406903200,CHGYA.IOLOQ,0406903200,FETA (EXCL. FOR PROCESSING),CHGYAIOLOQ
0406907400,C/SBIMXB-VOQ,0406907400,MAASDAM OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 72% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXBVOQ
0406907600,C/SBIMXCHDQT,0406907600,DANBO- FONTAL- FONTINA- FYNBO- HAVARTI- MARIBO AND SAMSø- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 72% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXCHDQT
0401300200,M&C NC/S 6-45,0401300200,M&C NC/S 6-45,MCNCS645
0406106800,CHFSW-EMMOQ,0406106800,CHFSW-EMMOQ,CHFSWEMMOQ
0406306300,CHPR-MXB-VOQ,0406306300,CHPR-MXB-VOQ,CHPRMXBVOQ
0406307300,CHPR-MXE-GQT,0406307300,CHPR-MXE-GQT,CHPRMXEGQT
0406903800,CHSBRZX-CMLK,0406903800,CHSBRZX-CMLK,CHSBRZXCMLK
0406905400,CHCOLBYOQ,0406905400,CHCOLBYOQ,CHCOLBYOQ
0406100200,CHONGOS,0406100200,CHONGOS,CHONGOS
0406207100,MXG/PAM-TYPOQ,0406207100,MXG/PAM-TYPOQ,MXGPAMTYPOQ
0406304800,CHPRED-GDAOQ,0406304800,CHPRED-GDAOQ,CHPREDGDAOQ
0406907800,C/SBIMXCHDOQ,0406907800,GOUDA- OF A FAT CONTENT BY WEIGHT OF <= 40% AND A WATER CONTENT- BY WEIGHT- OF NON-FATTY MATTER OF > 47% BUT <= 72% (EXCL. GRATED OR POWDERED AND FOR PROCESSING),CSBIMXCHDOQ
0202203000,FROZEN UNSEPARATED OR SEPARATED BOVINE FOREQUARTERS- WITH BONE IN,0202203000,BV-NES-BI-PFZ-QT,FROZENUNSEPARATEDORSEPARATEDBOVINEFOREQUARTERSWITHBONEIN
0202309000,"FROZEN BOVINE BONELESS MEAT (EXCL. FOREQUARTERS- WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES- EACH QUARTER BEING IN A SINGLE BLOCK ""COMPENSATED"" QUARTERS IN TWO BLOCKS- ONE OF WHICH CONTAINS THE FOREQUARTER- WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES- AND THE OTHER- THE HINDQUARTER- EXCL. THE TENDERLOIN- IN ONE PIECE- CROP- CHUCK AND BLADE AND BRISKET CUTS)",0202309000,"FROZEN BOVINE BONELESS MEAT (EXCL. FOREQUARTERS- WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES- EACH QUARTER BEING IN A SINGLE BLOCK ""COMPENSATED"" QUARTERS IN TWO BLOCKS- ONE OF WHICH CONTAINS THE FOREQUARTER- WHOLE OR CUT INTO A MAXIMUM OF FIVE PIECES- AND THE OTHER- THE HINDQUARTER- EXCL. THE TENDERLOIN- IN ONE PIECE- CROP- CHUCK AND BLADE AND BRISKET CUTS)",FROZENBOVINEBONELESSMEATEXCLFOREQUARTERSWHOLEORCUTINTOAMAXIMUMOFFIVEPIECESEACHQUARTERBEINGINASINGLEBLOCKCOMPENSATEDQUARTERSINTWOBLOCKSONEOFWHICHCONTAINSTHEFOREQUARTERWHOLEORCUTINTOAMAXIMUMOFFIVEPIECESANDTHEOTHERTHEHINDQUARTEREXCLTHETENDERLOININONEPIECECROPCHUCKANDBLADEANDBRISKETCUTS
0203111000,FRESH OR CHILLED DOMESTIC SWINE CARCASES AND HALF-CARCASES,0203111000,FRESH OR CHILLED DOMESTIC SWINE CARCASES AND HALF-CARCASES,FRESHORCHILLEDDOMESTICSWINECARCASESANDHALFCARCASES
0203121100,FRESH OR CHILLED WITH BONE IN- DOMESTIC SWINE HAMS AND CUTS THEREOF,0203121100,FRESH OR CHILLED WITH BONE IN- DOMESTIC SWINE HAMS AND CUTS THEREOF,FRESHORCHILLEDWITHBONEINDOMESTICSWINEHAMSANDCUTSTHEREOF
0203121900,FRESH OR CHILLED WITH BONE IN- DOMESTIC SWINE SHOULDERS AND CUTS THEREOF,0203121900,FRESH OR CHILLED WITH BONE IN- DOMESTIC SWINE SHOULDERS AND CUTS THEREOF,FRESHORCHILLEDWITHBONEINDOMESTICSWINESHOULDERSANDCUTSTHEREOF
